"1950" "1951" "1952" "1953" "1954" "1955" "1956" "1957" "1958" "1959" "1960" "1961" "1962" "1963" "1964" "1965" "1966" "1967" "1968" "1969" "1970" "1971" "1972" "1973" "1974" "1975" "1976" "1977" "1978" "1979" "1980" "1981" "1982" "1983" "1984" "1985" "1986" "1987" "1988" "1989" "1990" "1991" "1992" "1993" "1994" "1995" "1996" "1997" "1998" "1999" "2000"
"61" 19389 19432 19872 20222 20585 21335 21863 22864 23902 22988 24721 24061 24984 25140 25848 25547 26491 26661 26886 27254 28332 29224 28422 28367 28775 28596 28554 26876 27023 26984 27531 26363 30770 29704 27451 28146 27800 27114 26694 25680 25867 24946 25377 24793 25053 24438 25437 25543 26328 27169 27579
"62" 18760 19313 19163 19571 19951 20328 21055 21581 22586 23640 22681 24190 23796 24699 24852 25571 25352 26162 26359 26610 26952 28034 28873 28126 28085 28476 28289 28249 26616 26754 26704 27206 26084 30431 29349 27150 27828 27464 26799 26385 25415 25582 24691 25115 24537 24797 24195 25203 25275 26094 26923
"63" 18272 18445 18999 18851 19285 19642 20023 20799 21301 22282 23357 22463 23899 23513 24362 24549 25286 25055 25821 26048 26314 26823 27716 28540 27803 27779 28155 27958 27949 26329 26447 26407 26880 25759 30079 29028 26798 27482 27152 26480 26083 25124 25314 24447 24819 24253 24524 23895 24935 25029 25793
"64" 18120 17963 18121 18688 18569 19028 19339 19721 20497 21006 21969 22840 22181 23569 23226 24025 24290 24958 24686 25458 25723 26065 26481 27382 28158 27464 27429 27798 27611 27611 25933 26102 26064 26523 25421 29693 28664 26437 27122 26833 26151 25744 24810 24985 24123 24512 23958 24210 23580 24597 24693
"65" 17273 17462 17594 17783 18359 18256 18691 18977 19373 20151 20697 21754 22482 21841 23184 22866 23544 23922 24588 24339 25077 25190 25718 26090 26996 27742 27103 27080 27449 27259 27250 25559 25763 25689 26149 25063 29306 28229 26087 26740 26447 25798 25399 24485 24619 23782 24178 23621 23890 23265 24285
"66" 16288 17318 17123 17257 17420 18016 17928 18358 18638 19000 19799 20344 21397 22085 21435 22780 22462 23151 23548 24194 23949 24717 24801 25301 25751 26619 27334 26690 26661 27070 26859 26825 25171 25388 25310 25744 24714 28855 27808 25634 26347 26046 25421 25022 24087 24228 23411 23799 23280 23507 22914
"67" 15328 15456 16918 16769 16852 17049 17634 17582 17954 18231 18632 19510 19968 20978 21658 21038 22337 22018 22742 23131 23765 23610 24302 24372 24896 25344 26177 26853 26283 26218 26670 26443 26402 24769 24984 24913 25320 24308 28364 27322 25181 25924 25653 24991 24600 23647 23838 23010 23352 22899 23115
"68" 14675 15111 15032 16502 16332 16389 16649 17264 17162 17551 17806 18125 19050 19517 20526 21162 20718 21836 21551 22296 22678 23301 23181 23822 23928 24466 24873 25698 26407 25830 25762 26204 25996 25941 24334 24521 24538 24861 23849 27789 26868 24757 25452 25219 24530 24110 23202 23398 22583 22885 22442
"69" 14029 14017 14697 14613 16060 15851 15932 16194 16809 16722 17127 17586 17695 18585 19060 20061 20531 20236 21306 21083 21778 22264 22787 22676 23330 23449 23983 24365 25239 25899 25353 25266 25693 25517 25492 23839 24067 24069 24398 23385 27222 26354 24308 24973 24674 24046 23587 22729 22904 22140 22408
"70" 13153 13513 13559 14207 14156 15537 15375 15436 15698 16331 16232 16583 17137 17218 18056 18521 19476 19980 19713 20776 20539 21191 21782 22246 22176 22785 22970 23426 23831 24676 25350 24812 24729 25168 24999 24945 23329 23541 23568 23908 22889 26651 25787 23809 24445 24114 23474 23043 22253 22385 21659
"71" 12367 12558 13011 13058 13691 13672 14994 14882 14899 15236 15822 15693 16051 16583 16713 17513 17959 18879 19403 19159 20194 19981 20606 21202 21704 21680 22206 22369 22898 23247 24069 24762 24265 24144 24543 24438 24359 22800 22999 23001 23337 22367 26003 25174 23228 23869 23531 22913 22478 21687 21856
